                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.4262,                0.79384,                 1.1643,                0.78022,                0.64335,                0.65539,                0.30101,                 1.4007,                 1.1966,                0.97422,               0.001585,               0.001585,               0.001585
                     87,                  1.418,                0.79823,                 1.1652,                0.77893,                0.63913,                0.65536,                0.30102,                 1.4014,                 1.1943,                0.97512,               0.001486,               0.001486,               0.001486
                     88,                 1.4151,                0.78741,                 1.1681,                0.78529,                0.63862,                0.65809,                0.30133,                  1.404,                 1.1909,                0.97687,               0.001387,               0.001387,               0.001387
                     89,                 1.4089,                0.78374,                 1.1602,                0.78487,                0.63706,                0.65738,                0.30172,                 1.4035,                 1.1878,                0.97658,               0.001288,               0.001288,               0.001288
                     90,                 1.3967,                0.78319,                 1.1591,                0.78421,                0.63848,                0.65541,                0.30075,                 1.4066,                 1.1871,                 0.9783,               0.001189,               0.001189,               0.001189
                     91,                 1.3817,                0.76537,                  1.201,                0.78264,                0.63987,                0.65556,                0.30032,                   1.41,                 1.1846,                0.97915,                0.00109,                0.00109,                0.00109
                     92,                 1.3782,                0.77039,                 1.1929,                0.78561,                0.63825,                0.65287,                0.30053,                 1.4082,                 1.1834,                0.97786,               0.000991,               0.000991,               0.000991
                     93,                 1.3669,                0.76762,                 1.1826,                0.79509,                0.63435,                0.65476,                0.30019,                 1.4071,                 1.1801,                0.97819,               0.000892,               0.000892,               0.000892
                     94,                 1.3656,                0.75923,                  1.193,                0.79525,                0.63148,                0.65394,                0.29993,                 1.4062,                  1.179,                0.97831,               0.000793,               0.000793,               0.000793
                     95,                 1.3558,                0.75745,                 1.1891,                0.78612,                0.62913,                0.65146,                0.29938,                 1.4062,                 1.1732,                0.97895,               0.000694,               0.000694,               0.000694
                     96,                 1.3464,                0.75556,                 1.1858,                0.78069,                0.62571,                0.64709,                 0.2996,                  1.408,                 1.1693,                0.98097,               0.000595,               0.000595,               0.000595
                     97,                 1.3333,                0.74771,                  1.173,                0.78187,                0.62355,                0.64487,                0.29909,                 1.4095,                 1.1662,                0.98258,               0.000496,               0.000496,               0.000496
                     98,                 1.3225,                0.72945,                 1.1696,                0.78811,                0.61979,                0.64376,                0.29889,                 1.4097,                 1.1655,                0.98265,               0.000397,               0.000397,               0.000397
                     99,                 1.3328,                0.73239,                 1.1849,                0.78353,                0.61813,                0.64385,                0.29887,                 1.4084,                 1.1637,                0.98203,               0.000298,               0.000298,               0.000298
                    100,                 1.3259,                0.74296,                 1.1753,                0.78081,                0.61455,                0.64282,                0.29897,                 1.4077,                 1.1625,                0.98194,               0.000199,               0.000199,               0.000199
